Text,label
"Vietnam’s trade surplus hit $8.01 billion between January and May, with $156.77
billion in export revenue and $148.76 billion in imports, up 15.2% and 18.2% year-
on-year, respectively.

Of the total export earning, $43.69 billion came from the domestic sector and
$119.08 billion from the foreign-invested one, rising 20.5% and 13.3% against the
same time last year, the General Statistics Office reported Wednesday.

In the period under review, 26 kinds of products recorded export turnover of more
than $1 billion each, or 90% of the total, including seven with over $5 billion.

The processing sector contributed some $137.39 billion to the total export revenue, or
87.7%, while the fuel and mining sector made up 1.3%, agro-forestry 8.8%, and
fisheries 2.2%.

In the meantime, the domestic sector spent $54.95 billion on imports, and the
foreign-invested one $93.81 billion, year-on-year increases of 24.2% and 14.9%.

The import of 27 groups of goods exceeded $1 billion each, with four recording
revenue of more than $5 billion. Capital goods were the major imports in the period
with an estimated value of $139.89 billion.

The U.S. was the largest export market of Vietnam with revenue of $44 billion, while
China was the leading import market of the country with $54.9 billion.

Also in the period, Vietnam enjoyed a trade surplus of $38.1 billion with the U.S.,
$14.3 billion with the E.U., and $290 million with Japan. Meanwhile, it suffered a
trade deficit of $32.3 billion with China, $11.1 billion with the Republic of Korea, and
$4.2 billion from ASEAN.
",1
"Gasoline prices return to 4-month low

 

Gasoline pics on Thursday afternoon plunged tothe owes since Jan 28 after rising
marginal lst week,

‘rhe popular fl nonsgs fl 3.028 to UND22 suo (60.68) parler. Biofuel Es
RoNg2 declined by 2.498 10 VND247

 

Diesel dropped 0 45% to VDs5 740, lowest since Jan st

CGasoine an diesel prices

 

‘Regulators sad that prices ucuntd inthe las seven days dua to weakening US
dilarand concern that the U5. wil kp its intrest rate unchanged fr aong time

(OPEC+ is expcted to maintain its policy to mit suply in the upcoming meeting in
ne

Global gasoline prices fl 92-98 in the at seven days
",1
"BIDV and Agribank will sell gold to retail consumers “without profit” to stabilize its
prices, representatives for the state-owned lenders have said.

BIDV will start selling bullion at its counters in Hanoi and Ho Chi Minh City on June
3, CEO Le Ngoc Lam said in a statement published by the State Bank of Vietnam
(SBY).

Itwill later expand sales to other localities like Da Nang City, Can Tho City and Ba Ria

— Vung Tau Province.

The prices would depend on the central bank’s prices, and the goal is to narrow the

gap between domestic and international rates, Lam said.

Agribank CEO Pham Toan Vuong said there would measures in place to verify buyers

identities and prevent money laundering.

A representative of another state-owned lender told VnExpress earlier that the bank

would sell gold within the price band allowed by the central bank.

The SBY allows unrestricted sales to individuals but prohibits sales to businesses and

organizations, he added.

On Thursday it had said it would stop auctioning bullion to and would instead sell to

the four state-owned lenders who would in turn sell in the retail market.

The nine auctions it held in recent weeks have not resulted in narrowing the gap

between domestic and international rates.

Global rates are around 20% higher than domestic prices, which are around VND88

million ($3,456.75) per tael of 37.5 grams or 1.2 ounces.
",1
"‘The winds of change were blowing in a clearer direction and with a
distinctly spring like feeling for U.S. crypto and digital assets regulation
in Washington last week.

After months ofthe industry anticipating decisive action from the Hil,
notable bi-partisan progress was made with the Financial Innovation
and Technology forthe 2ist Century Act (FIT2), the U.S, Securities and
‘Exchange Commission (SEC) Staff Accounting Bulletin 121 (SAB:21),
and the CBDC Anti-Surveillance Act.

‘This watershed week marks a new era forthe U.S. crypto and digital
assets industry in Washington.

Last week’s progress on the Hillis on the back of the SEC bitcoin ETF
approvals earlier this year. Blackrock’s bitcoin ETF isthe fastest growing
ETF in history, demonstrating ifanything, the pent-up demand for
bitcoin from a trusted brand. The market is now waiting for the final
‘SEC approval ofthe ETH ETF, expected imminently.

‘The subsequent release of Blackrock’s digital money market fund on
‘Ethereum and Larry Fink's very vocal mission to tokenize the financial
‘markets has also captured Washington's attention.

‘The U-S. appears now to be rapidly bringing itself in line with other
jurisdictions in Europe, the Emirates and Asia to better equip the crypto
‘and digital assets industry to compete globally in the next era of digital
financial innovation.
",1
"Initial filings for unemployment benefits have hit their highest level since late
August 2023, a potential sign that an otherwise robust labor market is,
changing.

Jobless claims totaled a seasonally adjusted 231,000 for the week ending on
May 4, up 22,000 from the previous period and higher than the Dow Jones
estimate for 214,000, the Labor Department reported Thursday. Itwas the
highest claims aumber since Aug. 26, 2023.

‘The increase in claims follows a string of mostly strong hiring reports, though
hiring in April was ight compared with expectations. Also, job openings have
‘been declining amid expectations that the labor marketis likely to slow
‘through the year.

‘The report also showed that continuing claims, which run aweek behind,
increased to 1.78 million, up 17,000 from the previous week. The four-week
‘moving average of claims, which helps smooth out weekly volatility in
numbers, increased to 215,000, up 4,750 from the previous week.

“Weekly jobless claims are one of the timeliest indicators of when the economy
is starting to undergo serious deterioration, and the magnitude of new layoffs
this week looks worrisome,” wrote Christopher Rupkey, chief economist at
FWDBONDS. “One week does nota trend make, but we can no longer be sure
‘that calm seas lie ahead for the US economy if today’s weekly jobless claims are
any indication.

Nonfarm payzolls increased by 175,000 in April, below the Wall Street
estimate of 240,000 and the smallest gain since October 2023. However, the
‘unemployment rate was at 3.9%, continuing to hold below 49% since February
2022.

Matkets reacted itl tothe jobless claims release, with sock market futures
sSightivnepatve and Treasury yields med.

Excluding seasonal adjustments, claims totaled 209,324, up 10.4% from the
previous week. New York alone saw an increase of more than 10,000,
accounting for more than half the total rise,

“a low number of claims had become almost monotonous, and while this,
surprising spike could well be a blip, we should expect more volatility and a
‘trend toward higher claims asthe labor market normalizes,” said Robert Frick,
corporate economist at Navy Federal Credit Union,

Federal Reserve officials are watching the jobs numbers closely as they
continue efforts to bring inflation back to 256, Following their meeting,
policymakers noted that “job gains have remained strong.” But those remarks
came before the April employment report release.
",0
"The Australian sharemarket shrugged off a grim night on Wall St to snap a three-day
losing streak and finish the week on a rebound

The benchmark ASX 200 lifted 73.5 points, or nearly 1 per cent, to close at 7,701.7,
while the broader Alll Ordinaries index rose 74.9 points, or 0.95 per cent, to finish at
7,970.8

Tech stocks also lifted 25.6 points, or 0.84 per cent, to 3,075

The lift was broadbased, with 10 of 11 industry sectors ending in the green, led by
staples with a hefty 1.91 per cent rise and energy with a 1.77 per cent jump.

Retail behemoths Woolworths and Coles lifted 2 per cent to $31.60 a share and 1.73 per
cent to $16.42 a share, respectively, while poultry producer Inghams jumped 2 per cent
to $3.54

Oil and gas giant Woodside Energy rebounded 2 per cent from Thursday's sell-off to
close at $27.70 a share while Santos climbed 1.87 per cent to $7.63.

The positive trading day snapped a three-day losing streak and bucked a grim session
on Wall St overnight, which saw the Dow Jones tumble 330 points, or 0.86 per cent, to
38,111

The S&P 500 slipped 0.6 per cent to 5235 while the tech-heavy Nasdaq slumped 1.08
per cent to 16,737.

Wall Street's woes came despite a downward revision to US GDP figures, which IG
markets analyst Tony Sycamore said would usually trigger a “thumping rally” in equity
markets on Federal Reserve rate cut hopes.
",1
"Economists expect Thursday's inflation report to confirm January was
something of a setback in the battle against rapid price increases.

Inflation, as measured by the Personal Consumption Expenditures (PCE) Index,
likely rose 0.3% in January from December, according to a survey of economists
by Dow Jones Newswires and the Wall Street Journal. That's up from the 0.2%
increase in December. Core inflation, which excludes prices for food and energy,
is expected to double the 0.2% increase of December.

If those predictions hold, the report would likely confirm the signal from a
different measure of inflation—the Consumer Price Index—which earlier this
month showed that inflation is proving more stubborn than policymakers at the
Federal Reserve had hoped.

PCE is the Federal Reserve's preferred measure of inflation, and as of late has
been trending closer to the central bank's goal of 2% annualized inflation.

""Itis the PCE and core PCE inflation rates, and not the CPI inflation measures,
that will determine the timing and frequency of future Fed rate cuts,"" wrote
BMO's Scott Anderson. ""Unfortunately, we expect a similar performance of
these measures as in the January CPI report.
",0
"Sales of newly built single-family homes ticked up in January, the Census
Bureau said Monday.

New homes sold at an annual rate of 661,000, a 1.5% increase from December,
but below the 680,000 forecasters expected, according to a survey of
economists by Dow Jones Newswires and the Wall Street Journal. [21

The rate was 1.8% higher than a year ago but was 3.5% lower than the average
in 2019 pre-pandemic. Like the market for existing homes, sales of newly built
houses have been bogged down by high mortgage rates that have put home
purchases out of reach for many buyers.

‘A downtick in mortgage rates earlier this winter could help improve the
situation going forward, Ryan Sweet, Chief U.S. economist at Oxford Economics,
wrote in a commentary.

The average rate offered for a 30-year mortgage hovered in the high 6% range in
January after hitting 7.79% in late October, according to Freddie Mac.
Furthermore, the roaring job market has kept potential buyers in good financial
shape.

 

“The outlook for new-home sales remains cautiously optimistic as the 30-year
fixed mortgage rate is off its recent peak, job growth is strong, and inventories
are not problematic for the new-home market,” he wrote.
",1
" 

oe
a
3

Business | DataSpeaks Property Markets Companies Economy — Excha

Rice export prices dip, no longer
world’s highest

Sy ThiHa June 1

 

 

Farmers plant rice in southern Dong Thap Province. Photo by VnExpress/Ngoc Tai

‘Vietnamese rice prices, which used to be the highest in the global market, have now
subsided to sixth place.

The country’s 5% broken rice fetched US$574 per ton May 3o, lower than that of the
U.S., Thailand, Pakistan, Myanmar, and India, according to the Vietnam Food
Association.

‘Vietnam rice prices have dropped 13.5% from a historic peak in December.
They are now 7.4% lower than competitor Thailand’s.

5% broken rice prices: Vietnam vs. Thailand

USD per ton
8

° og

 

Dinh Ngoc Tam, deputy CEO of exporter Co May, said his company still has large

inventories and is therefore selling at lower prices.

‘Nguyen Viet Anh, CEO of rice exporter Orico, said supply is high in Vietnam and
prices have therefore fallen after staying high for a long time.

Other exporters say rice prices are also falling in many other countries, and would dip

further if India resumes exports.
The U.S. forecast rice supply will be rising globally.

The Ministry of Industry and Trade recently ordered the Vietnam Food Association
too look into exports to Indonesia, warning too low prices might violate competition

laws.

 

‘Vietnam’s Loc Troi Group won a bid to supply rice to Indonesia’s state-owned Perum

Bulog at $563.

‘Vietnam’s rice exports rose 34.8% year-on-year to $2.3 billion in the first five months

of 2024.
",0
"The economy is going to grow more this year than economists thought just a
couple months ago, according to a new survey.

Forecasters polled in mid-February expected the economy to grow at an annual
rate of 2.2%, a big jump from the 1.3% they projected in December, according to
a survey of 41 professional forecasters by the National Association for Business

Economics. 1!

The forecasters upwardly revised their projections for key parts of the economy
including consumer spending, investment, and hiring by employers based on
recent reports. They also lowered their inflation outlook and mostly assumed
the Federal Reserve would cut its benchmark interest rate later this year, which
would further spur growth as borrowing costs on all kinds of loans would fall.
",1
